size,type,algorithm,time_ms,comparisons
1100,reverse,string_quicksort,1.66961,10600.8
1100,reverse,string_mergesort,1.0584,8709
1100,reverse,msd_radix_sort,0.6678,2633
1100,reverse,msd_radix_sort_switch,1.064,6088.1
1100,almost,quick_sort,0.65588,17793.3
1100,almost,merge_sort,1.8692,12089
1100,almost,string_quicksort,1.63339,10477.6
1100,almost,string_mergesort,1.15306,12089
1100,almost,msd_radix_sort,0.67936,2626
1100,almost,msd_radix_sort_switch,1.0546,6133.1
1100,prefix,quick_sort,3.15574,536394
1100,prefix,merge_sort,4.10361,495693
1100,prefix,string_quicksort,1.97566,63904.2
1100,prefix,string_mergesort,3.07329,496193
1100,prefix,msd_radix_sort,4.61242,57098
1100,prefix,msd_radix_sort_switch,4.72774,58493.4
1200,random,quick_sort,0.93081,17551.2
1200,random,merge_sort,2.1236,14560
1200,random,string_quicksort,1.91083,12007.6
1200,random,string_mergesort,1.35687,14560
1200,random,msd_radix_sort,0.62204,2655
1200,random,msd_radix_sort_switch,0.90716,5068
1200,reverse,quick_sort,0.71199,19838.7
1200,reverse,merge_sort,2.06943,9551
1200,reverse,string_quicksort,1.7629,11662.5
1200,reverse,string_mergesort,1.17868,9551
1200,reverse,msd_radix_sort,0.75592,2939
1200,reverse,msd_radix_sort_switch,1.15605,6785.5
1200,almost,quick_sort,0.80393,19540.5
1200,almost,merge_sort,2.02207,13583
1200,almost,string_quicksort,1.77243,11852.3
1200,almost,string_mergesort,1.28957,13583
1200,almost,msd_radix_sort,0.80956,2913
1200,almost,msd_radix_sort_switch,1.11581,6727.2
1200,prefix,quick_sort,3.26204,584444
1200,prefix,merge_sort,4.56691,549494
1200,prefix,string_quicksort,2.14602,70501.6
1200,prefix,string_mergesort,3.40906,550644
1200,prefix,msd_radix_sort,5.04381,62296
1200,prefix,msd_radix_sort_switch,5.3225,63929.9
1300,random,quick_sort,0.84114,19822.6
1300,random,merge_sort,2.32455,16035
1300,random,string_quicksort,2.10191,13246.5
1300,random,string_mergesort,1.54453,16035
1300,random,msd_radix_sort,0.72084,2912
1300,random,msd_radix_sort_switch,1.014,5684.1
1300,reverse,quick_sort,0.79237,21382.9
1300,reverse,merge_sort,2.26762,10355
1300,reverse,string_quicksort,1.9708,13050.4
1300,reverse,string_mergesort,1.29381,10355
